SITE_ID,DEPTHMAX,2007 catchment data.PCT_BARREN_BSN,2007 catchment data.PCT_DEVELOPED_BSN,2007 catchment data.PCT_FOREST_BSN,2007 catchment data.PCT_SHRUBLAND_BSN,2007 catchment data.PCT_GRASS_BSN,catchment_Forestall,2007 catchment data.PCT_AGRIC_BSN,2007 catchment data.PCT_WETLAND_BSN,2007 buffer data.PCT_DEVELOPED_BUFR,2007 buffer data.PCT_BARREN_BUFR,2007 buffer data.PCT_FOREST_BUFR,2007 buffer data.PCT_SHRUBLAND_BUFR,2007 buffer data.PCT_GRASS_BUFR,buffer_forest_all,2007 buffer data.PCT_AGRIC_BUFR,2007 buffer data.PCT_WETLAND_BUFR,NUT_REG,Residence time,Catchment Area (km2),Lake Area (Km2),Relative Catchment Size,LON_DD,LAT_DD,ELEV_PT,Table1.CL_PPM
NLA06608-0942,23,0,2.3,79,1.7,1.3,82,4.4,1.5,3,0,39.1,0.1,0,39.2,1.3,2.6,VIII,4.56,17.64382112,1.053593225,16.74633122,-94.60247265,47.07143625,402.25,1.182
NLA06608-0943,33.8,0.3,3,91.4,0.3,0.3,92,2.7,0.1,3.9,5.4,48.5,0.6,1.5,50.6,0.8,0,XI,0.47,600.0211883,13.41255674,44.73578006,-84.26596921,34.80731121,515.11,1.006
NLA06608-0944,2.8,1.6,0.1,0,3.3,89.6,92.9,4.6,0.5,0,2.2,0,8.1,47,55.1,21.1,12.9,V,0.43,45.10011708,0.607083414,74.28981922,-108.0879027,48.20653603,763.1,1.393
NLA06608-0946,2.1,0.1,7,63,0.3,0.5,63.8,9.9,18.5,5.2,0,45.8,0.2,0.6,46.6,7.6,40.4,XIV,0.3,4.719791802,0.440594156,10.7123341,-72.19612696,41.83996337,159.75,11.231
NLA06608-0950,19.8,1.3,0.8,12.5,58.4,20.5,91.4,3.3,2.3,0.5,0.4,0.1,27.9,6.7,34.7,0.3,18.9,III,1.76,19953.89549,77.64918669,256.9749451,-108.1947009,43.16774073,1441,7.224
NLA06608-0955,21.4,0,1.6,42.5,41.4,13.7,97.6,0,0.2,0,0,8.3,27.3,34,69.6,0,0,II,0.67,74.88752399,0.681946553,109.8143596,-105.2328863,41.17631286,2196,5.125
NLA06608-0957,7.2,0,1.4,91.4,0,0,91.4,0,0,2.8,0,82,0,0,82,0,0,XI,0.51,1.078318657,0.120803077,8.92625158,-80.56008707,39.30139975,349.82,0.884
NLA06608-0958,6,0,2.6,66.2,6.6,2.2,75,0.3,7.8,2.9,0,46.3,4.6,0.1,51,0,7.9,VIII,0.96,46.90297671,1.457551696,32.17928862,-93.39164891,47.5916096,412.98,1.565
NLA06608-0961,6,0.1,1,76.2,18.1,1.1,95.4,0.9,1,0.6,0,29.2,10.1,1.6,40.9,0,1.4,II,0.49,9583.983633,0.919321497,10425.06203,-116.6865573,47.48939455,647.4,0.623
NLA06608-0962,33,0,1,65.5,32.9,0.1,98.5,0,0,0.3,0,23.2,46.6,0,69.8,0,0,II,0.9,169.3054159,0.698245993,242.472449,-111.7317,41.51816888,1640,3.487
NLA06608-0967,1.4,0,4.3,0.3,0,8,8.3,85.9,0.9,0.8,0,0,0,13.1,13.1,59.3,6.2,V,0.25,366.802537,0.303218765,1209.696032,-99.23771294,43.80089109,467.12,23.363
NLA06608-0968,1.2,0,8.4,1,0,2.7,3.7,53,3,6.9,0,1.4,0,4.8,6.2,40,3.9,VI,0.76,1.962865877,0.63882523,3.072617963,-94.90058432,42.73174291,390.55,56.47
NLA06608-0970,45,0.1,0,54.2,31.1,4.5,89.8,0,0.3,0,0.1,11.5,19.5,1.1,32.1,0,0.1,II,3.31,81.39423895,7.315057636,11.12694431,-109.8706018,43.0004446,2346,0.309
NLA06608-0971,8.5,0,6.2,10.8,0.2,2.3,13.3,65.9,0.1,3.1,0,16,0.3,3.7,20,14,0.1,VI,0.4,36.46062278,4.872829591,7.482433379,-85.28406916,40.11693151,292.29,12.192
NLA06608-0972,2,0,7.1,0,0,31,31,59.4,0,18,0,0,0,45.3,45.3,7.7,0,V,0.01,15.43222021,0.286260243,53.90975725,-98.02578504,35.52857379,418.38,13.172
NLA06608-0974,16,0.1,1.1,45.6,0,2,47.6,0,30.6,0,0,34.2,0,0,34.2,0,15.2,VIII,1.62,5.847904694,0.939144489,6.226842368,-88.19188615,46.47568516,516.99,0.296
NLA06608-0979,7.1,0,3.2,78.4,4.1,10.7,93.2,3.1,0.1,3.9,0,49.3,5.3,3.9,58.5,3.6,0.1,II,1.62,198.6688311,0.459592104,432.2720721,-103.5206581,43.76802869,1581.8,44.503
NLA06608-0980,2.1,0,5.1,58.2,0,0.4,58.6,34.1,0.4,0,0,72,0,0,72,3.7,4.3,IX,0.08,33.17846531,0.279480093,118.7149502,-88.68475272,37.39564741,111.25,3.015
NLA06608-0982,16.5,0,4.2,84.7,3.8,0,88.5,0,2.1,4.9,0,39.3,3.6,0,42.9,0.5,5.5,VIII,0.57,16.73036254,0.821598953,20.36317412,-71.81133018,44.44651471,312.89,5.129
NLA06608-0984,1.5,0.2,3.8,19.8,0,0.8,20.6,74.5,0,0,0,19.4,0,1.8,21.2,61.1,0.4,IX,0.03,6.271571798,0.104368743,60.09051769,-94.93952456,33.88536118,113.29,4.269
NLA06608-0986,5.2,0,24.2,40.8,11.9,0,52.7,7.7,1.1,24.6,0,17,4.5,0,21.5,1.2,0.5,IX,0.75,11.4504067,0.820562952,13.95433059,-89.43472797,31.30046077,89.99,4.222
NLA06608-0987,9.4,0,5.3,10,0,0.9,10.9,28.2,36.3,7.4,0,4.5,0,0,4.5,25.1,38.4,VII,2.24,0.687534924,0.142895454,4.811454142,-85.66354429,41.5778835,275.37,23.614
NLA06608-0989,3,0,2.8,76.3,1.2,2.4,79.9,13.7,1,0.9,0,73,1.4,0,74.4,1.2,2.3,IX,0.14,11.36692432,0.342909904,33.14842817,-77.63605473,37.12269729,61.6,2.608
NLA06608-0990,5.7,0,4.2,44.3,3.1,7.8,55.2,22.9,14.6,7.1,0,14.5,0.5,0.3,15.3,5.7,11.3,VIII,1.38,50.51711103,1.44047068,35.06986413,-94.33981178,46.23667971,357.17,3.148
NLA06608-0993,34.8,0,0.1,80.7,0.9,0,81.6,0.1,9.7,0.5,0,43.9,0,0,43.9,0,10.5,VIII,1.57,7.374280978,0.602346391,12.24259178,-74.44475781,44.15403952,544.95,0.326
NLA06608-0994,7.9,0,3.2,85.4,0.4,0,85.8,1.4,4.3,6.2,0,46.7,0.2,0.2,47.1,0.3,2.5,VIII,0.34,74.48454505,3.008289036,24.75977014,-72.08861587,43.10063504,395,3.355
NLA06608-0996,1.5,0,0,0,5.8,88.5,94.3,0,0,0,0,0,3.3,76.3,79.6,0,0,IV,0.36,1.572862443,0.132226546,11.89520933,-104.8975432,36.47751354,1945,9.79
NLA06608-0997,13.2,0,3.9,82.4,0.9,0.1,83.4,1.7,2.9,12.6,0,37.4,1.2,0,38.6,1.1,4.6,VII,0.55,7.768304962,0.384579547,20.19947504,-73.1843614,43.7347358,187.88,10.069
NLA06608-1001,2.4,1.1,4.6,44.7,0.5,25.6,70.8,12.5,10.4,4.6,1.5,58.2,0,4.6,62.8,1.8,7.3,IX,0.06,89.52285364,0.110899316,807.2444165,-80.6282663,34.32056025,65.79,2.53
NLA06608-1002,2,0,0.9,0.2,7.7,56.8,64.7,32.8,1.1,1.2,0,0,2.6,16.2,18.8,47.1,21.8,IV,0.26,9.547463793,0.063595523,150.1279232,-109.1837945,47.64355769,985.37,5.395
NLA06608-1003,8.2,0.1,21.9,13.9,0,3.4,17.3,9.9,8.2,23.9,0,7.4,0,1.1,8.5,5.2,6.1,VII,1.52,1.994764014,0.817377489,2.440444031,-86.21029029,42.08118015,232.46,4.423
NLA06608-1005,1.5,2.3,1.3,68.3,0,0,68.3,26.7,0.9,0,0,66.9,0,0,66.9,18,6.8,IX,0.08,8.561428872,0.065761229,130.1896118,-77.88158812,37.95715701,91.42,3.948
NLA06608-1006,5.5,0,2.5,0,0,57.1,57.1,26.5,3.4,2.3,0,0,0,11.6,11.6,5.3,2.4,V,1.93,62.22222501,2.304899332,26.99563671,-100.0594809,47.23309947,583.22,17.525
